detector,omitted_source,CDU_without_source,method
TimesNet,MSL,-0.000384056061267518,reaggregate existing OOF losses; no probe refitting
TimesNet,NAB,-0.0003715261909195322,reaggregate existing OOF losses; no probe refitting
TimesNet,NEK,-0.00037405242869539596,reaggregate existing OOF losses; no probe refitting
TimesNet,OPPORTUNITY,-0.0003210049982708452,reaggregate existing OOF losses; no probe refitting
TimesNet,Power,-0.0003768753895835806,reaggregate existing OOF losses; no probe refitting
TimesNet,SED,-0.000368610407889117,reaggregate existing OOF losses; no probe refitting
TimesNet,SMAP,-0.00038887394193731165,reaggregate existing OOF losses; no probe refitting
TimesNet,SMD,-0.00038405386804764204,reaggregate existing OOF losses; no probe refitting
TimesNet,SVDB,-0.00038810866405271176,reaggregate existing OOF losses; no probe refitting
TimesNet,SWaT,-3.227142356457147e-05,reaggregate existing OOF losses; no probe refitting
TimesNet,Stock,-0.0003882861889152531,reaggregate existing OOF losses; no probe refitting
TimesNet,TAO,-0.000387627161526851,reaggregate existing OOF losses; no probe refitting
TimesNet,TODS,-0.0003848471124928985,reaggregate existing OOF losses; no probe refitting
TimesNet,UCR,-0.00038356908948244326,reaggregate existing OOF losses; no probe refitting
TimesNet,WSD,-0.0003862055407521723,reaggregate existing OOF losses; no probe refitting
TimesNet,YAHOO,-0.0003844298867235276,reaggregate existing OOF losses; no probe refitting
FITS,CATSv2,-0.00046981027282084765,reaggregate existing OOF losses; no probe refitting
FITS,Daphnet,-0.0005031304513750614,reaggregate existing OOF losses; no probe refitting
FITS,Exathlon,-0.0005423524225895835,reaggregate existing OOF losses; no probe refitting
FITS,IOPS,-0.0004100745981726937,reaggregate existing OOF losses; no probe refitting
FITS,LTDB,-0.0003268731663172188,reaggregate existing OOF losses; no probe refitting
FITS,MGAB,-0.0003997394823835824,reaggregate existing OOF losses; no probe refitting
FITS,MITDB,-0.0004048989998061048,reaggregate existing OOF losses; no probe refitting
FITS,MSL,-0.00045139118843946655,reaggregate existing OOF losses; no probe refitting
FITS,NAB,-0.00035795108448439877,reaggregate existing OOF losses; no probe refitting
FITS,NEK,-0.000526935413926853,reaggregate existing OOF losses; no probe refitting
FITS,OPPORTUNITY,-5.0235879714870146e-05,reaggregate existing OOF losses; no probe refitting
