source_dataset,L_null,L_basis,L_detector,L_basis_detector,basis_utility,detector_utility,CDU,Raw_VUS,detector
MGAB,0.10379637692907713,0.09814965849320105,0.10424881034611322,0.09808978661883835,0.005646718435876013,-0.0004524334170361,5.987187436266167e-05,0.00430796896560875,MOMENT_ZS
MITDB,0.2799692305476572,0.28074051205083167,0.28263763658535185,0.28101957241702197,-0.0007712815031744574,-0.0026684060376946854,-0.0002790603661902976,0.1400442790648365,MOMENT_ZS
MSL,0.35306260934966177,0.32341904528105864,0.3294922590480149,0.32161658261737835,0.02964356406860314,0.0235703503016468,0.0018024626636802088,0.5286839023647534,MOMENT_ZS
NAB,0.5109301265016868,0.49567876044141895,0.49874775183299214,0.4955532392251107,0.015251366060267817,0.012182374668694627,0.00012552121630831872,0.3879726750456801,MOMENT_ZS
NEK,0.4180551094165658,0.34893343626830126,0.38191924967354307,0.3480895139783695,0.06912167314826453,0.036135859743022705,0.0008439222899316876,0.7307019177778098,MOMENT_ZS
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.39305526941138824,0.4760603414713415,-0.12398936396620222,-0.04347225081371592,-0.002487958907466952,0.06762266365605432,MOMENT_ZS
Power,0.4286798769583611,0.5020106680322937,0.4470919106451482,0.5023441803060864,-0.0733307910739325,-0.0184120336867871,-0.0003335122737927,0.0753797184511857,MOMENT_ZS
SED,0.25885176897902645,0.33325228185899936,0.2994203534090557,0.3366986034407673,-0.0744005128799729,-0.04056858443002925,-0.0034463215817679502,0.0354705215083652,MOMENT_ZS
SMAP,0.21089900810982376,0.18744917856369883,0.20362697897169293,0.18626749868668194,0.02344982954612493,0.007272029138130788,0.0011816798770168356,0.6197237470817635,MOMENT_ZS
SMD,0.18012864641461732,0.15902704174505083,0.16959422993571982,0.15885212264083928,0.021101604669566423,0.010534416478897383,0.00017491910421153168,0.7413991582186141,MOMENT_ZS
SVDB,0.24134051440331417,0.21203335442809823,0.23396187066895388,0.21180548256009052,0.02930715997521592,0.007378643734360198,0.00022787186800764497,0.2710298894276436,MOMENT_ZS
SWaT,0.5695013226659786,0.8095299149614791,0.6480314540006875,0.812025603288812,-0.2400285922955004,-0.0785301313347088,-0.0024956883273329,0.0747594636961824,MOMENT_ZS
Stock,0.417131156077293,0.3639863006648232,0.41227452801978876,0.36452015735746124,0.053144855412469785,0.004856628057504175,-0.0005338566926380222,0.8071694083320322,MOMENT_ZS
TAO,0.5535625392673225,0.5136042109103988,0.5417355342025675,0.5115624740925102,0.0399583283569237,0.011827005064754849,0.0020417368178884,0.9377151082388226,MOMENT_ZS
TODS,0.34089188089259115,0.3494683816078803,0.35054506068678803,0.349283218890435,-0.008576500715289138,-0.009653179794196927,0.00018516271744524785,0.5844992740007324,MOMENT_ZS
UCR,0.11965481163837996,0.12118827879405407,0.12005484488871028,0.12128038510506377,-0.0015334671556741313,-0.00040003325033033496,-9.210631100971293e-05,0.06741478216301583,MOMENT_ZS
WSD,0.11652476930139795,0.11569967076211748,0.11333152761425114,0.11548055045235991,0.00082509853928046,0.0031932416871467326,0.00021912030975751088,0.48770785155297547,MOMENT_ZS
YAHOO,0.1357516306585992,0.13053893441590425,0.13459394362978205,0.1306744289917802,0.005212696242694886,0.0011576870288170615,-0.00013549457587600061,0.27067979235476886,MOMENT_ZS
CATSv2,0.2858020924202719,0.297887201276486,0.2877025052223449,0.292775065532189,-0.0120851088562141,-0.001900412802073,0.0051121357442969,0.1966983235756076,M2N2
Daphnet,0.3254223915528967,0.2368700903937531,0.283222068979571,0.2285813678116695,0.0885523011591436,0.0422003225733257,0.0082887225820835,0.3453406228159693,M2N2
Exathlon,0.5235995378389589,0.43366213844939877,0.44346447710342995,0.39007169763447874,0.08993739938956005,0.08013506073552887,0.04359044081492003,0.6146742952658276,M2N2
IOPS,0.15479102249458004,0.14680233978912313,0.14857091665800137,0.14724032647865412,0.007988682705456907,0.006220105836578627,-0.0004379866895310401,0.2488396527646062,M2N2
LTDB,0.8720556920927158,0.8277857431274924,0.9175670468376484,0.8662377918978754,0.04426994896522349,-0.045511354744932474,-0.03845204877038299,0.3027555863060885,M2N2
MGAB,0.10379637692907713,0.09814965849320105,0.10609184640601664,0.09951216076026057,0.005646718435876013,-0.0022954694769395127,-0.0013625022670595,0.004271768968478063,M2N2
MITDB,0.2799692305476572,0.28074051205083167,0.290652407832186,0.29135036495053945,-0.0007712815031744574,-0.010683177284528814,-0.010609852899707799,0.09735793942246337,M2N2
MSL,0.35306260934966177,0.32341904528105864,0.35731557628109645,0.33240096786018253,0.02964356406860314,-0.004252966931434744,-0.008981922579123943,0.23651931440342583,M2N2
NAB,0.5109301265016868,0.49567876044141895,0.5357233558246458,0.510226606826933,0.015251366060267817,-0.024793229322958996,-0.014547846385514027,0.19499408721474934,M2N2
NEK,0.4180551094165658,0.34893343626830126,0.3457856954669811,0.3090556054759038,0.06912167314826453,0.07226941394958464,0.03987783079239736,0.7329100609634827,M2N2
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.29727046874204777,0.40395889368330024,-0.12398936396620222,0.052312549855624474,0.0696134888805743,0.5396060661028856,M2N2
Power,0.4286798769583611,0.5020106680322937,0.4714347316492498,0.5242898424325018,-0.0733307910739325,-0.0427548546908888,-0.0222791744002081,0.081753377572748,M2N2
SED,0.25885176897902645,0.33325228185899936,0.3071732503481201,0.35031683938270386,-0.0744005128799729,-0.048321481369093644,-0.0170645575237044,0.05555576681131455,M2N2
SMAP,0.21089900810982376,0.18744917856369883,0.20939113655142097,0.18730795334267397,0.02344982954612493,0.0015078715584028,0.00014122522102482648,0.14493063333541586,M2N2
SMD,0.18012864641461732,0.15902704174505083,0.17074308529171128,0.15138351193210797,0.021101604669566423,0.009385561122905966,0.007643529812942785,0.29783871937844103,M2N2
SVDB,0.24134051440331417,0.21203335442809823,0.24191727248202965,0.21620646739896857,0.02930715997521592,-0.0005767580787155056,-0.004173112970870338,0.08356654638051013,M2N2
SWaT,0.5695013226659786,0.8095299149614791,0.4874460368773965,0.7147784107499725,-0.2400285922955004,0.0820552857885821,0.0947515042115065,0.6809524397473536,M2N2
